Gene_Family	Sub_Family	Genomic_Locus_Tag
Chloroplast and Mitochondria gene families	Chlorophyll a/b-binding protein family	AT3G08940
Chloroplast and Mitochondria gene families	Chlorophyll a/b-binding protein family	AT1G76570
Chloroplast and Mitochondria gene families	Chlorophyll a/b-binding protein family	AT3G27690
Chloroplast and Mitochondria gene families	Chlorophyll a/b-binding protein family	AT2G34430
Chloroplast and Mitochondria gene families	Chloroplast membrane protein ALBINO3 family	AT2G28800
Chloroplast and Mitochondria gene families	Chloroplast membrane protein ALBINO3 family	AT1G24500
Chloroplast and Mitochondria gene families	Cytochrome b-561 family	AT5G38630
Chloroplast and Mitochondria gene families	Cytochrome b-561 family	AT1G14730
Chloroplast and Mitochondria gene families	Cytochrome b-561 family	AT1G26100
Chloroplast and Mitochondria gene families	Cytochrome b-561 family	AT4G25570
Chloroplast and Mitochondria gene families	Cytochrome c putative family	AT3G27240
Chloroplast and Mitochondria gene families	Cytochrome c putative family	AT5G40810
Chloroplast and Mitochondria gene families	Inner mitochondrial membrane family	AT1G72750
Chloroplast and Mitochondria gene families	Inner mitochondrial membrane family	AT1G17530
Chloroplast and Mitochondria gene families	Inner mitochondrial membrane family	AT3G04800
Chloroplast and Mitochondria gene families	Mitochondrial carrier protein family	AT1G25380
Chloroplast and Mitochondria gene families	Mitochondrial carrier protein family	AT2G47490
Chloroplast and Mitochondria gene families	Mitochondrial phosphate transporter family	AT2G17270
Chloroplast and Mitochondria gene families	Mitochondrial phosphate transporter family	AT5G14040
Chloroplast and Mitochondria gene families	Mitochondrial phosphate transporter family	AT3G48850
Chloroplast and Mitochondria gene families	Putative chloroplast protein import component	AT4G03320
Chloroplast and Mitochondria gene families	Putative cytochrome c biogenesis protein precursor	AT5G54290
Chloroplast and Mitochondria gene families	Putative mitochondrial carrier protein	AT2G35800
Chloroplast and Mitochondria gene families	Putative mitochondrial carrier protein family	AT5G26200
Chloroplast and Mitochondria gene families	Putative mitochondrial carrier protein family	AT5G15640
Chloroplast and Mitochondria gene families	Putative mitochondrial carrier protein family	AT1G72820
Chloroplast and Mitochondria gene families	Putative NADH dehydrogenase family	AT4G21490
Chloroplast and Mitochondria gene families	Putative NADH dehydrogenase family	AT4G28220
Chloroplast and Mitochondria gene families	Putative NADH dehydrogenase family	AT2G20800
Chloroplast and Mitochondria gene families	"SecY homolog; targetted to the thylakoid membrane"	AT2G18710
Chloroplast and Mitochondria gene families	Strong similarity to a mitochondrial carrier protein-Ribes nigrum family	AT1G07020
Chloroplast and Mitochondria gene families	Strong similarity to a mitochondrial carrier protein-Ribes nigrum family	AT1G07030
Chloroplast and Mitochondria gene families	Strong similarity to a mitochondrial carrier protein-Ribes nigrum family	AT2G30160
Chloroplast and Mitochondria gene families	Ubiquinol-cytochrome C reductase complex ubiquinone-binding protein (QP-C)-like family	AT3G10860
Chloroplast and Mitochondria gene families	Ubiquinol-cytochrome C reductase complex ubiquinone-binding protein (QP-C)-like family	AT5G05370
Class III peroxidase	NULL	AT2G43480
Class III peroxidase	NULL	AT2G34060
Class III peroxidase	NULL	AT1G05260
Class III peroxidase	NULL	AT1G05250
Class III peroxidase	NULL	AT1G05240
Class III peroxidase	NULL	AT1G24110
Class III peroxidase	NULL	AT1G77100
Class III peroxidase	NULL	AT2G18980
Class III peroxidase	NULL	AT2G38390
Class III peroxidase	NULL	AT2G38380
Class III peroxidase	NULL	AT2G35380
Class III peroxidase	NULL	AT2G39040
Class III peroxidase	NULL	AT2G37130
Class III peroxidase	NULL	AT2G22420
Class III peroxidase	NULL	AT2G24800
Class III peroxidase	NULL	AT2G18150
Class III peroxidase	NULL	AT2G18140
Class III peroxidase	NULL	AT1G30870
Class III peroxidase	NULL	AT3G03670
Class III peroxidase	NULL	AT3G01190
Class III peroxidase	NULL	AT1G14550
Class III peroxidase	NULL	AT1G14540
Class III peroxidase	NULL	AT1G44970
Class III peroxidase	NULL	AT1G34510
Class III peroxidase	NULL	AT1G49570
Class III peroxidase	NULL	AT1G68850
Class III peroxidase	NULL	AT1G71695
Class III peroxidase	NULL	AT4G26010
Class III peroxidase	NULL	AT5G47000
Class III peroxidase	NULL	AT3G17070
Class III peroxidase	NULL	AT5G19890
Class III peroxidase	NULL	AT2G41480
Class III peroxidase	NULL	AT5G58390
Class III peroxidase	NULL	AT5G58400
Class III peroxidase	NULL	AT5G51890
Class III peroxidase	NULL	AT3G32980
Class III peroxidase	NULL	AT3G28200
Class III peroxidase	NULL	AT3G21770
Class III peroxidase	NULL	AT5G14130
Class III peroxidase	NULL	AT5G22410
Class III peroxidase	NULL	AT5G42180
Class III peroxidase	NULL	AT5G24070
Class III peroxidase	NULL	AT5G39580
Class III peroxidase	NULL	AT5G67400
Class III peroxidase	NULL	AT5G17820
Class III peroxidase	NULL	AT5G06720
Class III peroxidase	NULL	AT5G06730
Class III peroxidase	NULL	AT5G05340
Class III peroxidase	NULL	AT5G64100
Class III peroxidase	NULL	AT5G64110
Class III peroxidase	NULL	AT5G64120
Class III peroxidase	NULL	AT5G40150
Class III peroxidase	NULL	AT5G66390
Class III peroxidase	NULL	AT5G19880
Class III peroxidase	NULL	AT4G31760
Class III peroxidase	NULL	AT4G33870
Class III peroxidase	NULL	AT4G21960
Class III peroxidase	NULL	AT4G16270
Class III peroxidase	NULL	AT4G17690
Class III peroxidase	NULL	AT4G36430
Class III peroxidase	NULL	AT4G37520
Class III peroxidase	NULL	AT4G37530
Class III peroxidase	NULL	AT4G33420
Class III peroxidase	NULL	AT4G25980
Class III peroxidase	NULL	AT4G11290
Class III peroxidase	NULL	AT4G30170
Class III peroxidase	NULL	AT3G49120
Class III peroxidase	NULL	AT3G49110
Class III peroxidase	NULL	AT3G49960
Class III peroxidase	NULL	AT3G50990
Class III peroxidase	NULL	AT4G08770
Class III peroxidase	NULL	AT4G08780
Class III peroxidase	NULL	AT5G15180
CNGCs	NULL	At1g01340
CNGCs	NULL	At1g15990
CNGCs	NULL	At1g19780
CNGCs	NULL	At3g17690
CNGCs	NULL	At3g17700
CNGCs	NULL	At3g48010
CNGCs	NULL	At4g01010
CNGCs	NULL	At4g30360
CNGCs	NULL	At4g30560
CNGCs	NULL	At5g14870
CNGCs	NULL	At5g15410
CNGCs	NULL	At5g53130
CNGCs	NULL	At5g54250
CNGCs	NULL	At5g57940
CNGCs	NULL	At2g23980
CNGCs	NULL	At2g24610
CNGCs	NULL	At2g28260
CNGCs	NULL	At2g46430
CNGCs	NULL	At2g46440
CNGCs	NULL	At2g46450
Core Cell Cycle Genes	NULL	AT1G02970
Core Cell Cycle Genes	NULL	AT1G15570
Core Cell Cycle Genes	NULL	AT1G16330
Core Cell Cycle Genes	NULL	AT1G18040
Core Cell Cycle Genes	NULL	AT1G20610
Core Cell Cycle Genes	NULL	AT1G20930
Core Cell Cycle Genes	NULL	AT1G44110
Core Cell Cycle Genes	NULL	AT1G47210
Core Cell Cycle Genes	NULL	AT1G47220
Core Cell Cycle Genes	NULL	AT1G47230
Core Cell Cycle Genes	NULL	AT1G47870
Core Cell Cycle Genes	NULL	AT1G49620
Core Cell Cycle Genes	NULL	AT1G66750
Core Cell Cycle Genes	NULL	AT1G70210
Core Cell Cycle Genes	NULL	AT1G73690
Core Cell Cycle Genes	NULL	AT1G76310
Core Cell Cycle Genes	NULL	AT1G76540
Core Cell Cycle Genes	NULL	AT1G77390
Core Cell Cycle Genes	NULL	AT1G80370
Core Cell Cycle Genes	NULL	AT3G01330
Core Cell Cycle Genes	NULL	AT3G11520
Core Cell Cycle Genes	NULL	AT3G12280
Core Cell Cycle Genes	NULL	AT3G19150
Core Cell Cycle Genes	NULL	AT3G24810
Core Cell Cycle Genes	NULL	AT3G48160
Core Cell Cycle Genes	NULL	AT3G50070
Core Cell Cycle Genes	NULL	AT3G50630
Core Cell Cycle Genes	NULL	AT3G54180
Core Cell Cycle Genes	NULL	AT4G03270
Core Cell Cycle Genes	NULL	AT4G28980
Core Cell Cycle Genes	NULL	AT4G34160
Core Cell Cycle Genes	NULL	AT4G35620
Core Cell Cycle Genes	NULL	AT4G37490
Core Cell Cycle Genes	NULL	AT4G37630
Core Cell Cycle Genes	NULL	AT5G02110
Core Cell Cycle Genes	NULL	AT5G02470
Core Cell Cycle Genes	NULL	AT5G03410
Core Cell Cycle Genes	NULL	AT5G06150
Core Cell Cycle Genes	NULL	AT5G10270
Core Cell Cycle Genes	NULL	AT5G10440
Core Cell Cycle Genes	NULL	AT5G11300
Core Cell Cycle Genes	NULL	AT5G14960
Core Cell Cycle Genes	NULL	AT5G22220
Core Cell Cycle Genes	NULL	AT5G25380
Core Cell Cycle Genes	NULL	AT5G27620
Core Cell Cycle Genes	NULL	AT5G43080
Core Cell Cycle Genes	NULL	AT5G48820
Core Cell Cycle Genes	NULL	AT5G63610
Core Cell Cycle Genes	NULL	AT5G64960
Core Cell Cycle Genes	NULL	AT5G65420
Core Cell Cycle Genes	NULL	AT5G67260
Core Cell Cycle Genes	NULL	AT2G17620
Core Cell Cycle Genes	NULL	AT2G22490
Core Cell Cycle Genes	NULL	AT2G23430
Core Cell Cycle Genes	NULL	AT2G26760
Core Cell Cycle Genes	NULL	AT2G27960
Core Cell Cycle Genes	NULL	AT2G27970
Core Cell Cycle Genes	NULL	AT2G32710
Core Cell Cycle Genes	NULL	AT2G36010
Core Cell Cycle Genes	NULL	AT2G38620
Core Cell Cycle Genes	NULL	AT3G48750
CPP Transcription Factor Family	NULL	At3g22760
CPP Transcription Factor Family	NULL	At3g22780
CPP Transcription Factor Family	NULL	At4g14770
CPP Transcription Factor Family	NULL	At2g20110
CPP Transcription Factor Family	NULL	At3g04850
CPP Transcription Factor Family	NULL	At3g16160
CPP Transcription Factor Family	NULL	At5g25790
CPP Transcription Factor Family	NULL	At4g29000
CRKs	NULL	At1g49580
CRKs	NULL	At3g50530
CRKs	NULL	At2g46700
Cytochrome b5	Cytochromes b5	AT1G26340
Cytochrome b5	Cytochromes b5	AT5G53560
Cytochrome b5	Cytochromes b5	AT5G48810
Cytochrome b5	Cytochromes b5	AT1G60660
Cytochrome b5	Cytochromes b5	AT2G32720
Cytochrome b5	Cytochromes b5	AT2G46650
Cytochrome b5	NADPH cytochrome b5 reductase	AT5G17770
Cytochrome P450	CYP51G	AT2G17330
Cytochrome P450	CYP51G	AT1G11680
Cytochrome P450	CYP701A	AT5G25900
Cytochrome P450	CYP702A	AT4G15300
Cytochrome P450	CYP702A	AT4G15310
Cytochrome P450	CYP702A	AT1G65670
Cytochrome P450	CYP702A	AT3G30290
Cytochrome P450	CYP703A	AT1G01280
Cytochrome P450	CYP704A	AT2G44890
Cytochrome P450	CYP704A	AT2G45510
Cytochrome P450	CYP704B	At1g69500
Cytochrome P450	CYP705A	AT5G42580
Cytochrome P450	CYP705A	AT5G47990
Cytochrome P450	CYP705A	AT4G15330
Cytochrome P450	CYP705A	AT4G15350
Cytochrome P450	CYP705A	AT4G15360
Cytochrome P450	CYP705A	AT4G15380
Cytochrome P450	CYP705A	AT1G50520
Cytochrome P450	CYP705A	AT1G50560
Cytochrome P450	CYP705A	AT3G20080
Cytochrome P450	CYP705A	AT3G20090
Cytochrome P450	CYP705A	AT3G20110
Cytochrome P450	CYP705A	AT3G20120
Cytochrome P450	CYP705A	AT3G20130
Cytochrome P450	CYP705A	AT3G20140
Cytochrome P450	CYP705A	AT3G20940
Cytochrome P450	CYP705A	AT3G20950
Cytochrome P450	CYP705A	AT3G20960
Cytochrome P450	CYP705A	AT3G20960
Cytochrome P450	CYP705A	AT1G28430
Cytochrome P450	CYP705A	AT3G20100
Cytochrome P450	CYP705A	At1g50550
Cytochrome P450	CYP705A	At3g20940
Cytochrome P450	CYP705A	AT2G05180
Cytochrome P450	CYP705A	AT2G14100
Cytochrome P450	CYP705A	AT2G27000
Cytochrome P450	CYP705A	AT2G27010
Cytochrome P450	CYP706A	AT4G22710
Cytochrome P450	CYP706A	AT4G12320
Cytochrome P450	CYP706A	AT4G22690
Cytochrome P450	CYP706A	AT4G12330
Cytochrome P450	CYP706A	AT4G12300
Cytochrome P450	CYP706A	AT4G12310
Cytochrome P450	CYP706A	AT5G44620
Cytochrome P450	CYP707A	AT4G19230
Cytochrome P450	CYP707A	AT5G45340
Cytochrome P450	CYP707A	AT3G19270
Cytochrome P450	CYP707A	AT2G29090
Cytochrome P450	CYP708A	AT1G55940
Cytochrome P450	CYP708A	AT5G48000
Cytochrome P450	CYP708A	AT1G78490
Cytochrome P450	CYP709A	AT5G38450
Cytochrome P450	CYP709A	AT1G67110
Cytochrome P450	CYP709B	AT4G27710
Cytochrome P450	CYP709B	AT2G46950
Cytochrome P450	CYP709B	AT2G46960
Cytochrome P450	CYP710A	AT2G28850
Cytochrome P450	CYP710A	AT2G28860
Cytochrome P450	CYP710A	AT2G34490
Cytochrome P450	CYP710A	AT2G34500
Cytochrome P450	CYP711A	AT2G26170
Cytochrome P450	CYP712A	AT5G06905
Cytochrome P450	CYP712A	AT2G42250
Cytochrome P450	CYP714A	AT5G24900
Cytochrome P450	CYP714A	AT5G24910
Cytochrome P450	CYP715A	AT5G52400
Cytochrome P450	CYP716A	AT5G36110
Cytochrome P450	CYP716A	AT5G36140
Cytochrome P450	CYP718	AT2G42850
Cytochrome P450	CYP71A	AT5G42590
Cytochrome P450	CYP71A	AT4G13290
Cytochrome P450	CYP71A	AT4G13310
Cytochrome P450	CYP71A	AT5G24960
Cytochrome P450	CYP71A	AT5G24950
Cytochrome P450	CYP71A	AT1G11610
Cytochrome P450	CYP71A	AT2G30750
Cytochrome P450	CYP71A	AT2G30770
Cytochrome P450	CYP71B	AT5G57260
Cytochrome P450	CYP71B	AT3G53290
Cytochrome P450	CYP71B	AT5G25180
Cytochrome P450	CYP71B	AT3G53280
Cytochrome P450	CYP71B	AT3G26220
Cytochrome P450	CYP71B	AT3G26280
Cytochrome P450	CYP71B	AT3G26150
Cytochrome P450	CYP71B	AT3G26160
Cytochrome P450	CYP71B	AT3G26170
Cytochrome P450	CYP71B	AT3G26190
Cytochrome P450	CYP71B	AT3G26200
Cytochrome P450	CYP71B	AT3G26230
Cytochrome P450	CYP71B	AT3G26270
Cytochrome P450	CYP71B	AT3G26290
Cytochrome P450	CYP71B	AT3G26310
Cytochrome P450	CYP71B	AT3G26320
Cytochrome P450	CYP71B	AT3G26180
Cytochrome P450	CYP71B	AT3G26210
Cytochrome P450	CYP71B	AT3G26300
Cytochrome P450	CYP71B	AT3G26330
Cytochrome P450	CYP71B	AT3G44250
Cytochrome P450	CYP71B	AT3G53300
Cytochrome P450	CYP71B	AT3G53300
Cytochrome P450	CYP71B	AT5G25120
Cytochrome P450	CYP71B	AT5G25130
Cytochrome P450	CYP71B	AT5G25140
Cytochrome P450	CYP71B	AT2G02580
Cytochrome P450	CYP71B	AT2G24180
Cytochrome P450	CYP71B	AT1G13070
Cytochrome P450	CYP71B	AT1G13080
Cytochrome P450	CYP71B	AT1G13090
Cytochrome P450	CYP71B	AT1G13100
Cytochrome P450	CYP71B	AT1G13110
Cytochrome P450	CYP71B	AT3G26830
Cytochrome P450	CYP721A	AT1G75130
Cytochrome P450	CYP722A	AT1G19630
Cytochrome P450	CYP724A	AT5G14400
Cytochrome P450	CYP72A	AT3G14610
Cytochrome P450	CYP72A	AT3G14620
Cytochrome P450	CYP72A	AT3G14630
Cytochrome P450	CYP72A	AT3G14640
Cytochrome P450	CYP72A	AT3G14640
Cytochrome P450	CYP72A	AT3G14650
Cytochrome P450	CYP72A	AT3G14660
Cytochrome P450	CYP72A	AT3G14680
Cytochrome P450	CYP72A	AT3G14690
Cytochrome P450	CYP72B	AT2G26710
Cytochrome P450	CYP72C	AT1G17060
Cytochrome P450	CYP734A	At2g26710
Cytochrome P450	CYP735A	AT5g38450
Cytochrome P450	CYP735A	At1g67110
Cytochrome P450	CYP73A	AT2G30490
Cytochrome P450	CYP74A	AT5G42650
Cytochrome P450	CYP74B	AT4G15440
Cytochrome P450	CYP75B	AT5G07990
Cytochrome P450	CYP76C	AT1G33720
Cytochrome P450	CYP76C	AT1G33730
Cytochrome P450	CYP76C	At3g61040
Cytochrome P450	CYP76C	AT2G45550
Cytochrome P450	CYP76C	AT2G45560
Cytochrome P450	CYP76C	AT2G45570
Cytochrome P450	CYP76C	AT2G45580
Cytochrome P450	CYP76G	AT3G52970
Cytochrome P450	CYP77A	AT5G04630
Cytochrome P450	CYP77A	At5g04630
Cytochrome P450	CYP77A	AT3G10560
Cytochrome P450	CYP77A	AT3G10570
Cytochrome P450	CYP77B	AT1G11600
Cytochrome P450	CYP78A	AT5G09970
Cytochrome P450	CYP78A	AT3G61880
Cytochrome P450	CYP78A	AT1G01190
Cytochrome P450	CYP78A	AT1G13710
Cytochrome P450	CYP78A	AT2G46660
Cytochrome P450	CYP78A	AT1G74110
Cytochrome P450	CYP79A	AT5G05260
Cytochrome P450	CYP79A	AT5G35920
Cytochrome P450	CYP79B	AT2G22330
Cytochrome P450	CYP79B	AT4G39950
Cytochrome P450	CYP79C	AT1G79370
Cytochrome P450	CYP79C	AT1G58370
Cytochrome P450	CYP79F	AT1G16400
Cytochrome P450	CYP79F	AT1G16410
Cytochrome P450	CYP81D	AT5G36220
Cytochrome P450	CYP81D	AT4G37360
Cytochrome P450	CYP81D	AT4G37370
Cytochrome P450	CYP81D	AT4G37320
Cytochrome P450	CYP81D	AT4G37330
Cytochrome P450	CYP81D	AT4G37340
Cytochrome P450	CYP81D	AT2G23190
Cytochrome P450	CYP81D	AT2G23220
Cytochrome P450	CYP81F	AT5G57220
Cytochrome P450	CYP81F	AT4G37410
Cytochrome P450	CYP81F	AT4G37430
Cytochrome P450	CYP81F	AT4G37400
Cytochrome P450	CYP81G	AT5G67310
Cytochrome P450	CYP81H	AT4G37310
Cytochrome P450	CYP81K	AT5G10600
Cytochrome P450	CYP81K	AT5G10610
Cytochrome P450	CYP82C	AT4G31940
Cytochrome P450	CYP82C	AT4G31950
Cytochrome P450	CYP82C	AT4G31970
Cytochrome P450	CYP82F	AT2G25160
Cytochrome P450	CYP82G	AT3G25180
Cytochrome P450	CYP83A	AT4G13770
Cytochrome P450	CYP83B	AT4G31500
Cytochrome P450	CYP84A	AT4G36220
Cytochrome P450	CYP85A	AT5G38970
Cytochrome P450	CYP86A	AT1G01600
Cytochrome P450	CYP86A	AT4G00360
Cytochrome P450	CYP86A	AT1G63710
Cytochrome P450	CYP86A	AT2G45970
Cytochrome P450	CYP86A	AT5G58860
Cytochrome P450	CYP86B	AT5G23190
Cytochrome P450	CYP86C	At3g26125
Cytochrome P450	CYP86C	AT1G24540
Cytochrome P450	CYP86C	AT1G13140
Cytochrome P450	CYP86C	AT1G13150
Cytochrome P450	CYP87A	At1g12740
Cytochrome P450	CYP88A	AT1G05160
Cytochrome P450	CYP88A	AT2G32440
Cytochrome P450	CYP89A	AT5G61320
Cytochrome P450	CYP89A	AT1G64900
Cytochrome P450	CYP89A	AT1G64930
Cytochrome P450	CYP89A	AT1G64940
Cytochrome P450	CYP89A	AT1G64950
Cytochrome P450	CYP89A	AT3G03470
Cytochrome P450	CYP89A	AT2G12180
Cytochrome P450	CYP90A	AT5G05690
Cytochrome P450	CYP90B	AT3G50660
Cytochrome P450	CYP90C	AT4G36380
Cytochrome P450	CYP90D	AT3G13730
Cytochrome P450	CYP93D	AT5G06900
Cytochrome P450	CYP94B	AT3G48520
Cytochrome P450	CYP94B	AT5G63450
Cytochrome P450	CYP94B	AT3G01900
Cytochrome P450	CYP94C	AT2G27690
Cytochrome P450	CYP94D	AT1G34540
Cytochrome P450	CYP94D	AT3G56630
Cytochrome P450	CYP96A	AT5G52320
Cytochrome P450	CYP96A	AT4G32170
Cytochrome P450	CYP96A	AT4G39480
Cytochrome P450	CYP96A	AT4G39490
Cytochrome P450	CYP96A	AT5G02900
Cytochrome P450	CYP96A	AT4G39500
Cytochrome P450	CYP96A	AT4G39510
Cytochrome P450	CYP96A	AT1G47620
Cytochrome P450	CYP96A	AT1G65340
Cytochrome P450	CYP96A	AT1G47630
Cytochrome P450	CYP96A	AT2G21910
Cytochrome P450	CYP96A	AT2G23180
Cytochrome P450	CYP97A	F5M6.19
Cytochrome P450	CYP97B	AT4G15110
Cytochrome P450	CYP97C	AT3G53130
Cytochrome P450	CYP98A	AT2G40890
Cytochrome P450	CYP98A	AT1G74540
Cytochrome P450	CYP98A	AT1G74550
Cytoplasmic ribosomal protein gene family	L10	At1g26910
Cytoplasmic ribosomal protein gene family	L10	At1g14320
Cytoplasmic ribosomal protein gene family	L10	At1g66580
Cytoplasmic ribosomal protein gene family	L10a	At2g27530
Cytoplasmic ribosomal protein gene family	L10a	At1g08360
Cytoplasmic ribosomal protein gene family	L10a	At5g22440
Cytoplasmic ribosomal protein gene family	L11	At2g42740
Cytoplasmic ribosomal protein gene family	L11	At5g45775
Cytoplasmic ribosomal protein gene family	L11	At4g18730
Cytoplasmic ribosomal protein gene family	L11	At3g58700
Cytoplasmic ribosomal protein gene family	L12	At2g37190
Cytoplasmic ribosomal protein gene family	L12	At5g60670
Cytoplasmic ribosomal protein gene family	L12	At3g53430
Cytoplasmic ribosomal protein gene family	L13	At3g48130
Cytoplasmic ribosomal protein gene family	L13	At5g23900
Cytoplasmic ribosomal protein gene family	L13	At3g49010
Cytoplasmic ribosomal protein gene family	L13	At3g48960
Cytoplasmic ribosomal protein gene family	L13a	At3g07110
Cytoplasmic ribosomal protein gene family	L13a	At3g24830
Cytoplasmic ribosomal protein gene family	L13a	At5g48760
Cytoplasmic ribosomal protein gene family	L13a	At4g13170
Cytoplasmic ribosomal protein gene family	L14	At2g20450
Cytoplasmic ribosomal protein gene family	L14	At4g27090
Cytoplasmic ribosomal protein gene family	L15	At4g16720
Cytoplasmic ribosomal protein gene family	L15	At4g17390
Cytoplasmic ribosomal protein gene family	L17	At1g67430
Cytoplasmic ribosomal protein gene family	L17	At1g27400
Cytoplasmic ribosomal protein gene family	L18	At2g47570
Cytoplasmic ribosomal protein gene family	L18	At3g05590
Cytoplasmic ribosomal protein gene family	L18	At5g27850
Cytoplasmic ribosomal protein gene family	L18a	At2g34480
Cytoplasmic ribosomal protein gene family	L18a	At1g29970
Cytoplasmic ribosomal protein gene family	L18a	At3g14600
Cytoplasmic ribosomal protein gene family	L19	At4g02230
Cytoplasmic ribosomal protein gene family	L19	At1g02780
Cytoplasmic ribosomal protein gene family	L19	At3g16780
Cytoplasmic ribosomal protein gene family	L21	At1g31355
Cytoplasmic ribosomal protein gene family	L21	At3g57820
Cytoplasmic ribosomal protein gene family	L21	At1g09486
Cytoplasmic ribosomal protein gene family	L21	At1g09690
Cytoplasmic ribosomal protein gene family	L21	At1g09590
Cytoplasmic ribosomal protein gene family	L21	At1g57660
Cytoplasmic ribosomal protein gene family	L21	At1g57860
Cytoplasmic ribosomal protein gene family	L22	At1g02830
Cytoplasmic ribosomal protein gene family	L22	At3g05560
Cytoplasmic ribosomal protein gene family	L22	At5g27770
Cytoplasmic ribosomal protein gene family	L23	At1g04480
Cytoplasmic ribosomal protein gene family	L23	At2g33370
Cytoplasmic ribosomal protein gene family	L23	At3g04400
Cytoplasmic ribosomal protein gene family	L23a	At2g39460
Cytoplasmic ribosomal protein gene family	L23a	At3g55280
Cytoplasmic ribosomal protein gene family	L24	At2g36620
Cytoplasmic ribosomal protein gene family	L24	At3g53020
Cytoplasmic ribosomal protein gene family	L24	At2g44860
Cytoplasmic ribosomal protein gene family	L26	At5g67510
Cytoplasmic ribosomal protein gene family	L26	At3g49910
Cytoplasmic ribosomal protein gene family	L27	At2g32220
Cytoplasmic ribosomal protein gene family	L27	At3g22230
Cytoplasmic ribosomal protein gene family	L27	At4g15000
Cytoplasmic ribosomal protein gene family	L27a	At1g12960
Cytoplasmic ribosomal protein gene family	L27a	At1g23290
Cytoplasmic ribosomal protein gene family	L27a	At1g70600
Cytoplasmic ribosomal protein gene family	L28	At2g19730
Cytoplasmic ribosomal protein gene family	L28	At4g29410
Cytoplasmic ribosomal protein gene family	L29	At3g06700
Cytoplasmic ribosomal protein gene family	L29	At3g06680
Cytoplasmic ribosomal protein gene family	L3	At5g42445
Cytoplasmic ribosomal protein gene family	L3	At1g43170
Cytoplasmic ribosomal protein gene family	L3	At1g61580
Cytoplasmic ribosomal protein gene family	L30	At1g77940
Cytoplasmic ribosomal protein gene family	L30	At1g36240
Cytoplasmic ribosomal protein gene family	L30	At3g18740
Cytoplasmic ribosomal protein gene family	L31	At2g19740
Cytoplasmic ribosomal protein gene family	L31	At5g56710
Cytoplasmic ribosomal protein gene family	L31	At4g26230
Cytoplasmic ribosomal protein gene family	L32	At5g46430
Cytoplasmic ribosomal protein gene family	L32	At4g18100
Cytoplasmic ribosomal protein gene family	L34	At1g26880
Cytoplasmic ribosomal protein gene family	L34	At1g69620
Cytoplasmic ribosomal protein gene family	L34	At3g28900
Cytoplasmic ribosomal protein gene family	L35	At2g39390
Cytoplasmic ribosomal protein gene family	L35	At3g09500
Cytoplasmic ribosomal protein gene family	L35	At3g55170
Cytoplasmic ribosomal protein gene family	L35	At5g02610
Cytoplasmic ribosomal protein gene family	L35a	At1g07070
Cytoplasmic ribosomal protein gene family	L35a	At1g41880
Cytoplasmic ribosomal protein gene family	L35a	At1g74270
Cytoplasmic ribosomal protein gene family	L35a	At3g55750
Cytoplasmic ribosomal protein gene family	L36	At2g37600
Cytoplasmic ribosomal protein gene family	L36	At5g02450
Cytoplasmic ribosomal protein gene family	L36	At3g53740
Cytoplasmic ribosomal protein gene family	L36a	At3g23390
Cytoplasmic ribosomal protein gene family	L36a	At4g14320
Cytoplasmic ribosomal protein gene family	L37	At1g52300
Cytoplasmic ribosomal protein gene family	L37	At1g15250
Cytoplasmic ribosomal protein gene family	L37	At3g16080
Cytoplasmic ribosomal protein gene family	L37a	At2g35180
Cytoplasmic ribosomal protein gene family	L37a	At3g10950
Cytoplasmic ribosomal protein gene family	L37a	At3g60245
Cytoplasmic ribosomal protein gene family	L38	At2g43460
Cytoplasmic ribosomal protein gene family	L38	At3g59540
Cytoplasmic ribosomal protein gene family	L39	At2g25210
Cytoplasmic ribosomal protein gene family	L39	At3g02190
Cytoplasmic ribosomal protein gene family	L39	At4g31985
Cytoplasmic ribosomal protein gene family	L4	At1g35200
Cytoplasmic ribosomal protein gene family	L4	At2g24730
Cytoplasmic ribosomal protein gene family	L4	At3g09630
Cytoplasmic ribosomal protein gene family	L4	At5g02870
Cytoplasmic ribosomal protein gene family	L40	At2g36170
Cytoplasmic ribosomal protein gene family	L40	At3g52590
Cytoplasmic ribosomal protein gene family	L41	At3g11120
Cytoplasmic ribosomal protein gene family	L41	At1g56045
Cytoplasmic ribosomal protein gene family	L41	At3g56020
Cytoplasmic ribosomal protein gene family	L41	At3g08520
Cytoplasmic ribosomal protein gene family	L5	At5g40130
Cytoplasmic ribosomal protein gene family	L5	At3g25520
Cytoplasmic ribosomal protein gene family	L5	At5g39740
Cytoplasmic ribosomal protein gene family	L6	At1g18540
Cytoplasmic ribosomal protein gene family	L6	At1g74060
Cytoplasmic ribosomal protein gene family	L6	At1g74050
Cytoplasmic ribosomal protein gene family	L7	At2g44120
Cytoplasmic ribosomal protein gene family	L7	At2g01250
Cytoplasmic ribosomal protein gene family	L7	At1g80750
Cytoplasmic ribosomal protein gene family	L7	At3g13580
Cytoplasmic ribosomal protein gene family	L7a	At2g47610
Cytoplasmic ribosomal protein gene family	L7a	At3g62870
Cytoplasmic ribosomal protein gene family	L8	At2g18020
Cytoplasmic ribosomal protein gene family	L8	At4g36130
Cytoplasmic ribosomal protein gene family	L8	At3g51190
Cytoplasmic ribosomal protein gene family	L9	At1g33120
Cytoplasmic ribosomal protein gene family	L9	At1g33140
Cytoplasmic ribosomal protein gene family	L9	At4g10450
